original_id,title,user_input,precision_at_k,recall_at_k,mrr,ndcg,binary_genre_similarity,proportional_genre_similarity,top_k_ids,top_k_titles
626289,O Filho do Homem,"Um drama emocionante sobre uma gravidez milagrosa e a vida de uma criança destinada a mudar o mundo, mostrando a jornada espiritual e os desafios enfrentados pela família em meio a perseguições e conflitos com as autoridades.",0.0,0.0,0.0,0.0,1.0,1.0,540020|1400899|1048794|752637|1425938,A Sombra do Pai|Ladeira Abaixo|Espumas ao Vento|Mar de Dentro|Mãos que não se alcançam
1000837,Ainda Estou Aqui,"Um drama histórico que retrata a vida de uma família durante a ditadura militar, mostrando o desaparecimento de um pai e a luta da mãe e dos filhos para seguir em frente em meio ao luto e à repressão política.",0.0,0.0,0.0,0.0,0.25,0.125,1195721|645275|650916|199889|1088605,15 filhos|Quando a Terra Treme|Fico Te Devendo uma Carta do Brasil|Cabra-Cega|Nunca Mais - o filme
372519,Os Dez Mandamentos: O Filme,"Uma adaptação grandiosa da história bíblica de Moisés, desde seu nascimento até a libertação do povo hebreu, com efeitos especiais impressionantes e uma narrativa cheia de emoção e fé.",1.0,1.0,1.0,1.0,0.75,0.75,372519|774133|1317444|349367|626289,Os Dez Mandamentos: O Filme|Teocracia em Vertigem|Moisés|Jesus um reino sem fronterais|O Filho do Homem
935766,Chico Bento e a Goiabeira Maravilhosa,"Uma aventura familiar e divertida sobre um menino do interior que luta para salvar sua árvore favorita da destruição, mostrando a importância da amizade e da preservação da natureza.",0.0,0.0,0.0,0.0,0.0,0.0,1434044|1228600|1209359|1213277|651721,A Floresta|A Árvore|Border|Criança Enjaulada|Rã
598,Cidade de Deus,"Um filme intenso sobre a vida nas favelas, retratando a violência das gangues e a luta de um jovem para escapar desse mundo através da fotografia, com cenas realistas e emocionantes.",0.0,0.0,0.0,0.0,0.8,0.6,135913|1097175|379754|1152835|1394929,Disparos|Grande Sertão|Os Marginais|Se Essa Rua Fosse Minha|Eu me tornei outra coisa
1192209,Arca de Noé,"Uma animação musical e divertida sobre dois ratinhos que tentam entrar na arca de Noé, cheia de aventuras e lições sobre amizade e perseverança em meio ao dilúvio.",1.0,1.0,1.0,1.0,0.8,0.6,1192209|329794|352302|274847|1285655,Arca de Noé|Mônica e a Sereia do Rio|As Novas Aventuras da Turma da Mônica|O Trapalhão na Arca de Noé|Wicked Game
1099413,O Auto da Compadecida 2,"Uma comédia irreverente que continua a história de um esperto sertanejo que volta como uma figura quase santa, envolvendo políticos, trambiques e muito humor no Nordeste brasileiro.",0.0,0.0,0.0,0.0,0.6,0.4,386020|459997|147874|1296847|408066,Um Homem Sério|O Pasquim: A Subversão do Humor|Azyllo Muito Louco|Suspiros Republicanos|Dramática Popular
250754,Mulher Tentação,"Um drama polêmico sobre uma família disfuncional, explorando temas como voyeurismo, ninfomania e relacionamentos conturbados, com cenas fortes e uma narrativa provocativa.",0.0,0.0,0.0,0.0,1.0,1.0,236310|1397304|536409|633283|1155226,Mar de Rosas|Trópico de Leão|O Escândalo na Sociedade|Ambiente Familiar|Nós
1173558,O Lado Bom de Ser Traída,"Um drama romântico sobre uma mulher que transforma sua vida sexual após uma traição, mergulhando em desejos proibidos e enfrentando as consequências de suas escolhas arriscadas.",0.0,0.0,0.0,0.0,0.5,0.16666666666666666,621984|472315|283716|1181237|195452,A Fome do Sexo|Amassa Que Elas Gostam|Vadias do Sexo Sangrento|Apaixonada|As Amorosas
1186947,Bandida - A Número Um,"Um crime dramático baseado na vida real de uma mulher que se torna chefe do tráfico, mostrando sua ascensão no mundo do crime, violência e poder no Rio de Janeiro.",0.0,0.0,0.0,0.0,1.0,0.5333333333333333,344071|17359|152242|481349|542767,Parceiros da Aventura|Notícias de uma guerra particular|Rio Babilônia|Torturadas pelo Sexo|Tempo de Violência
7347,Tropa de Elite,"Um filme de ação intenso sobre policiais de elite em meio ao caos das favelas, mostrando a brutalidade da guerra contra o tráfico e os dilemas morais enfrentados pelos agentes.",0.0,0.0,0.0,0.0,0.75,0.5,1410216|1097175|417512|379754|871932,Na Linha de Fogo|Grande Sertão|É Um Caso de Polícia!|Os Marginais|Impuros: O Filme
197158,Pornô!,"Um filme erótico em episódios, misturando terror e comédia, com histórias sobre fetiches, relacionamentos lésbicos e situações sobrenaturais envolvendo desejo e perversão.",1.0,1.0,0.5,0.6309297535714575,1.0,0.45,283716|197158|446655|330456|749330,"Vadias do Sexo Sangrento|Pornô!|Caçadas Eróticas|Gamal, O Delírio do Sexo|Deliciosas Traições do Amor"
187826,Bonitinha mas Ordinária,"Um drama psicológico sobre um homem humilde que aceita um casamento arranjado, mas se vê dividido entre o dinheiro e o amor verdadeiro, em uma trama cheia de reviravoltas.",0.0,0.0,0.0,0.0,0.4,0.2,1181237|1285476|865703|522168|393448,Apaixonada|Interlúdio|Instinto Devasso|Mulheres Alteradas|Amor e Desamor
47931,Tropa de Elite 2: O Inimigo Agora é Outro,"A continuação do filme sobre a polícia de elite, agora enfrentando um novo inimigo: as milícias e a corrupção dentro do próprio sistema, com cenas de ação e críticas sociais.",0.0,0.0,0.0,0.0,1.0,0.5555555555555555,1097175|331081|1410216|1147387|372882,"Grande Sertão|Caveira My Friend|Na Linha de Fogo|Luz, Câmera, 50 Anos: Força-Tarefa - O Filme|Perpétuo Contra o Esquadrão da Morte"
950526,O Mestre da Fumaça,"Uma comédia de ação sobre um jovem que aprende um estilo único de luta enquanto enfrenta a máfia, misturando artes marciais, maconha e muita aventura.",1.0,1.0,0.2,0.38685280723454163,0.2,0.2,500854|145372|1318587|1226530|950526,Tinta Bruta|O Cabeleira|Ciberbullyng: Violência Virtual Também Machuca.|Terror Mandelão|O Mestre da Fumaça
