id,title,overview,genres,keywords,popularity,rating,original_language,poster
626289,O Filho do Homem,"Maria recebe a visita do Anjo Gabriel, que traz a mensagem de sua gravidez do Espírito Santo. Mesmo relutante, José casa-se com ela e assume a criança para criar como sua. Em um humilde estábulo de Belém, nasce Jesus, que passa os próximos 33 anos pregando, até ser perseguido pelas autoridades do Império Romano que dominam a Judéia e ser condenado à cruz.",Drama,,"26,6982",6,pt,/o8X5UcK3rehyxmslzjJuGT9xjWu.jpg
1000837,Ainda Estou Aqui,"No início da década de 1970, o Brasil enfrenta o endurecimento da ditadura militar. No Rio de Janeiro, a família Paiva – Rubens, Eunice e seus cinco filhos – vive à beira da praia em uma casa de portas abertas para os amigos. Um dia, Rubens Paiva é levado por militares à paisana e desaparece.","Drama, História","Mãe, praia, relacionamento de esposa, baseado em romance ou livro, 1970, Rio de Janeiro, baseado na história verdadeira, São Paulo, Brasil, luto, protagonista feminina, drama de época, interrogatório, margem de mares, madra, dinâmica familiar, ditadura militar, 1990, ativação, ativação, ativação, fúria, dramática histórica, dinâmica familiar, marido ausente, 1990 cinema, filme independente, adaptação, factual, drama político, apático, pai desaparecido, dissidente político, drama biográfico, ditadura militar brasileira","22,3548","7,981",pt,/yY0HDAGfu79cpOLQBgR3kgGZ7HS.jpg
372519,Os Dez Mandamentos: O Filme,"Com efeitos especiais grandiosos e uma história emocionante, o filme produzido pela Record conta uma das mais famosas passagens da Bíblia: a saga de Moisés, desde seu nascimento até a chegada de seu povo à Terra Prometida, passando pela fuga do Egito através do Mar Vermelho e o encontro com Deus no Monte Sinai. Livre adaptação dos livros Êxodo, Levítico, Números e Deuteronômio, o filme cobre mais de cem anos de história, em tramas recheadas de emoção.",Drama,,"20,0212","7,2",pt,/yctfYDrHAPcJP54D2BCH9R5GTY2.jpg
935766,Chico Bento e a Goiabeira Maraviosa,"Chico Bento passou a vida catando goiabas na goiabeira do Nhô Lau. Mas, agora que o Dotô Agripino vai construir uma estrada que vai derrubar a goiabeira, Chico e seus amigos vão fazer de tudo pra impedir.","Família, Aventura, Comédia","cinema brasileiro, comédia brasileira, comédia","16,4082","7,648",pt,/d2K7Zhw9yRjzoa4HBbrjt7aqlgT.jpg
598,Cidade de Deus,"Buscapé é um jovem morador da Cidade de Deus que cresce em meio à violência. Com medo de se tornar um bandido, enxerga na fotografia uma oportunidade de ter uma vida digna.","Drama, Crime","Gangue de rua, fotógrafo, gângster, Rio de Janeiro, Guerra de Gangues, Gueto, Agenda, Introspectivo, Cinema Brasileiro, Crítico, Tenso, Junto, com base em eventos reais","12,1269","8,429",pt,/gfnXixcGC060QcG6JPxN6AMdVsq.jpg
1192209,Arca de Noé,"Vini é um ratinho poeta muito tímido enquanto Tom é um grande músico. Os dois sonham em espalhar alegria com suas canções, mas o dilúvio acaba com todos os seus planos. Assim, os dois armam um plano mirabolante para entrar na arca de Noé.","Animação, Música, Comédia, Fantasia, Família","LGBT, Arca de Noe","7,8774","6,84",pt,/iI79rRbcwPKVlbEN5Sc4EwppRpa.jpg
1099413,O Auto da Compadecida 2,"Após 20 anos desaparecido, João Grilo retorna para a cidade de Taperoá e reencontra com seu fiel escudeiro Chicó, que carrega adiante a história de que Nossa Senhora operou um milagre e ressuscitou o amigo. João Grilo, então, agora é considerado uma espécie de santo e seu status de celebridade chama a atenção especial dos dois políticos mais poderosos da região, querendo utilizá-lo como cabo eleitoral. Vendo toda essa comoção como uma oportunidade para finalmente enriquecer, João Grilo organiza um de seus famosos trambiques. Pena que nada sai como o planejado e o passado retorna e se repete para o sertanejo.","Comédia, Drama","Nordeste brasileiro, cinema brasileiro, absurdo, comédia brasileira, comédia religiosa horrorizada","7,3253","6,798",pt,/d4co6mPX84RIIA9qKCHNjJj0qrm.jpg
250754,Mulher Tentação,"Os percalços eróticos de uma família: o pai voyeur espia e assedia todas as empregadas da mansão. A esposa é uma devoradora, que seduz jovens rapazes e a filha ninfomaníaca disputa seus namorados com a própria mãe.",Drama,"Parque de diversões, remoção, voyeur, esposa negligenciada, marido cuckolded","7,3151","5,4",pt,/wPptobzbSEBoDOAUJJy1FF0xOb.jpg
1173558,O Lado Bom de Ser Traída,"Nesta adaptação do livro de Sue Hecker, uma contadora vê a traição do noivo como uma oportunidade de transformar sua vida sexual, resultando em consequências arriscadas.","Drama, Mistério, Romance",baseado em romance ou livro,"7,1337","6,324",pt,/boPkFKrDSUeRxc9ltZRsuVSdRkz.jpg
1186947,Bandida - A Número Um,"Aos nove anos, Rebeca é vendida por sua avó para o bicheiro que comandava a Rocinha. Disputada por bicheiros e traficantes, a comunidade passa por mudanças de poder. Rebeca vira mulher do traficante chefe e, com a morte do parceiro, sua sucessora. A eletrizante trajetória de crime, violência, drogas e amor de uma mulher chefe do tráfico na Rocinha, no Rio de Janeiro dos anos 1980.","Ação, Crime, Drama","complexo, ambivalente","6,7091","6,196",pt,/x1n3ZFBR7yuWrmts7GRZIcUtTVo.jpg
7347,Tropa de Elite,"Rio de Janeiro, 1997. Nascimento, capitão da Tropa de Elite do Rio de Janeiro, é designado para chefiar uma das equipes que tem como missão ""apaziguar"" o Morro do Turano por um motivo que ele considera insensato. Mas ele tem que cumprir as ordens enquanto procura por um substituto. Sua mulher, Rosane, está no final da gravidez e todos os dias lhe pede para sair da linha de frente do batalhão. Pressionado, o capitão sente os efeitos do estresse.Neste clima, é chamado para mais uma emergência num morro. Em meio a um tiroteio em um baile funk, Nascimento e sua equipe têm que resgatar dois aspirantes a oficiais da PM: Neto e Matias. Ansiosos por entrar em ação e impressionados com a eficiência de seus salvadores, os dois se candidatam ao curso de formação da Tropa de Elite.","Drama, Ação, Crime","traficante de drogas, brutalidade policial, favela, guerra contra drogas, tráfico de drogas, Rio de Janeiro, Polícia de tortura, forças especiais, aplicação da lei, cinema brasileiro, admirando","5,9608","8,058",pt,/atl4a9VFVP7JYvk4GeSgqhLOfjC.jpg
197158,Pornô!,"Filme erótico em episódios com argumento e roteiro de Ody Fraga. Em ""As Gazelas"", Castillini mostra a intimidade de duas normalistas numa tarde dedicada ao estudo; David Cardoso, ator e diretor do segundo segmento, ""O Prazer da Virtude"", encarna um fetichista obcecado por hábitos religiosos; em ""O Gafanhoto"", John Doo dirige um drama sobrenatural sobre mulher cega e dominadora que pode ver através dos espelhos.","Drama, Terror, Fantasia, Comédia","Relacionamento lésbico, filme erótico, porno","5,8638","5,2",pt,/5YEd5kfXK8uoM2bzSYtPc14az82.jpg
