original_id,title,user_input,precision_at_k,recall_at_k,mrr,ndcg,binary_genre_similarity,proportional_genre_similarity,top_k_ids,top_k_titles
626289,O Filho do Homem,"Um drama emocionante sobre uma gravidez milagrosa e a vida de uma criança destinada a mudar o mundo, mostrando a jornada espiritual e os desafios enfrentados pela família em meio a perseguições e conflitos com as autoridades.",1.000000,1.000000,0.250000,0.430677,1.000000,1.000000,"752637,540020,1400899,626289,1048794","Mar de Dentro,A Sombra do Pai,Ladeira Abaixo,O Filho do Homem,Espumas ao Vento"
1000837,Ainda Estou Aqui,"Um drama histórico que retrata a vida de uma família durante a ditadura militar, mostrando o desaparecimento de um pai e a luta da mãe e dos filhos para seguir em frente em meio ao luto e à repressão política.",0.000000,0.000000,0.000000,0.000000,0.400000,0.300000,"1195721,1088605,650916,199889,173443","15 filhos,Nunca Mais - o filme,Fico Te Devendo uma Carta do Brasil,Cabra-Cega,Uma História de Amor e Fúria"
372519,Os Dez Mandamentos: O Filme,"Uma adaptação grandiosa da história bíblica de Moisés, desde seu nascimento até a libertação do povo hebreu, com efeitos especiais impressionantes e uma narrativa cheia de emoção e fé.",1.000000,1.000000,1.000000,1.000000,0.750000,0.750000,"372519,774133,349367,1092864,1317444","Os Dez Mandamentos: O Filme,Teocracia em Vertigem,Jesus um reino sem fronterais,as flores e as dores que ele me deu,Moisés"
935766,Chico Bento e a Goiabeira Maraviosa,"Uma aventura familiar e divertida sobre um menino do interior que luta para salvar sua árvore favorita da destruição, mostrando a importância da amizade e da preservação da natureza.",0.000000,0.000000,0.000000,0.000000,0.200000,0.066667,"258109,1434044,1209359,1082232,1228600","O Menino e o Vento,A Floresta,Border,Natal Perfeito,A Árvore"
598,Cidade de Deus,"Um filme intenso sobre a vida nas favelas, retratando a violência das gangues e a luta de um jovem para escapar desse mundo através da fotografia, com cenas realistas e emocionantes.",0.000000,0.000000,0.000000,0.000000,1.000000,0.750000,"135913,379754,1410216,1097175,145372","Disparos,Os Marginais,Na Linha de Fogo,Grande Sertão,O Cabeleira"
1192209,Arca de Noé,"Uma animação musical e divertida sobre dois ratinhos que tentam entrar na arca de Noé, cheia de aventuras e lições sobre amizade e perseverança em meio ao dilúvio.",1.000000,1.000000,1.000000,1.000000,1.000000,0.600000,"1192209,352302,964185,1278073,329794","Arca de Noé,As Novas Aventuras da Turma da Mônica,A Bela e os Pássaros,Procura-se: Um pato e um gato,Mônica e a Sereia do Rio"
1099413,O Auto da Compadecida 2,"Uma comédia irreverente que continua a história de um esperto sertanejo que volta como uma figura quase santa, envolvendo políticos, trambiques e muito humor no Nordeste brasileiro.",0.000000,0.000000,0.000000,0.000000,0.400000,0.400000,"459997,1030626,627583,386020,408066","O Pasquim: A Subversão do Humor,Pérola,Câmera Close!,Um Homem Sério,Dramática Popular"
250754,Mulher Tentação,"Um drama polêmico sobre uma família disfuncional, explorando temas como voyeurismo, ninfomania e relacionamentos conturbados, com cenas fortes e uma narrativa provocativa.",0.000000,0.000000,0.000000,0.000000,0.600000,0.600000,"236310,633283,1397304,495469,331081","Mar de Rosas,Ambiente Familiar,Trópico de Leão,A Morte Inventada - Alienação Parental,Caveira My Friend"
1173558,O Lado Bom de Ser Traída,"Um drama romântico sobre uma mulher que transforma sua vida sexual após uma traição, mergulhando em desejos proibidos e enfrentando as consequências de suas escolhas arriscadas.",0.000000,0.000000,0.000000,0.000000,0.500000,0.166667,"472315,621984,283716,1181237,236310","Amassa Que Elas Gostam,A Fome do Sexo,Vadias do Sexo Sangrento,Apaixonada,Mar de Rosas"
1186947,Bandida - A Número Um,"Um crime dramático baseado na vida real de uma mulher que se torna chefe do tráfico, mostrando sua ascensão no mundo do crime, violência e poder no Rio de Janeiro.",0.000000,0.000000,0.000000,0.000000,1.000000,0.533333,"344071,152242,795899,20268,225883","Parceiros da Aventura,Rio Babilônia,Cena do Crime,Última Parada 174,O Batedor de Carteiras"
