id,title,input_user
626289,"O Filho do Homem","Um drama emocionante sobre uma gravidez milagrosa e a vida de uma criança destinada a mudar o mundo, mostrando a jornada espiritual e os desafios enfrentados pela família em meio a perseguições e conflitos com as autoridades."
1000837,"Ainda Estou Aqui","Um drama histórico que retrata a vida de uma família durante a ditadura militar, mostrando o desaparecimento de um pai e a luta da mãe e dos filhos para seguir em frente em meio ao luto e à repressão política."
372519,"Os Dez Mandamentos: O Filme","Uma adaptação grandiosa da história bíblica de Moisés, desde seu nascimento até a libertação do povo hebreu, com efeitos especiais impressionantes e uma narrativa cheia de emoção e fé."
935766,"Chico Bento e a Goiabeira Maravilhosa","Uma aventura familiar e divertida sobre um menino do interior que luta para salvar sua árvore favorita da destruição, mostrando a importância da amizade e da preservação da natureza."
598,"Cidade de Deus","Um filme intenso sobre a vida nas favelas, retratando a violência das gangues e a luta de um jovem para escapar desse mundo através da fotografia, com cenas realistas e emocionantes."
1192209,"Arca de Noé","Uma animação musical e divertida sobre dois ratinhos que tentam entrar na arca de Noé, cheia de aventuras e lições sobre amizade e perseverança em meio ao dilúvio."
1099413,"O Auto da Compadecida 2","Uma comédia irreverente que continua a história de um esperto sertanejo que volta como uma figura quase santa, envolvendo políticos, trambiques e muito humor no Nordeste brasileiro."
250754,"Mulher Tentação","Um drama polêmico sobre uma família disfuncional, explorando temas como voyeurismo, ninfomania e relacionamentos conturbados, com cenas fortes e uma narrativa provocativa."
1173558,"O Lado Bom de Ser Traída","Um drama romântico sobre uma mulher que transforma sua vida sexual após uma traição, mergulhando em desejos proibidos e enfrentando as consequências de suas escolhas arriscadas."
1186947,"Bandida - A Número Um","Um crime dramático baseado na vida real de uma mulher que se torna chefe do tráfico, mostrando sua ascensão no mundo do crime, violência e poder no Rio de Janeiro."
7347,"Tropa de Elite","Um filme de ação intenso sobre policiais de elite em meio ao caos das favelas, mostrando a brutalidade da guerra contra o tráfico e os dilemas morais enfrentados pelos agentes."
197158,"Pornô!","Um filme erótico em episódios, misturando terror e comédia, com histórias sobre fetiches, relacionamentos lésbicos e situações sobrenaturais envolvendo desejo e perversão."
187826,"Bonitinha mas Ordinária","Um drama psicológico sobre um homem humilde que aceita um casamento arranjado, mas se vê dividido entre o dinheiro e o amor verdadeiro, em uma trama cheia de reviravoltas."
47931,"Tropa de Elite 2: O Inimigo Agora é Outro","A continuação do filme sobre a polícia de elite, agora enfrentando um novo inimigo: as milícias e a corrupção dentro do próprio sistema, com cenas de ação e críticas sociais."
950526,"O Mestre da Fumaça","Uma comédia de ação sobre um jovem que aprende um estilo único de luta enquanto enfrenta a máfia, misturando artes marciais, maconha e muita aventura."
54989,"Amor Estranho Amor","Um drama histórico sobre um jovem que se vê envolvido em um bordel cheio de segredos, explorando temas como incesto, prostituição e despertar sexual no Brasil dos anos 1930."
997265,"Regra 34","Um thriller erótico sobre uma defensora pública que vive uma dupla vida, explorando seus desejos mais obscuros em um mundo de violência e BDSM."
1321476,"Zuzubalândia - O Filme","Uma animação infantil sobre um reino mágico feito de comida, onde uma bruxa má tenta destruir a magia, e uma heroína precisa salvar seu mundo com coragem e determinação."
818511,"Carga Máxima","Um thriller de ação com perseguições de caminhões, explosões e gangues criminosas, cheio de adrenalina e reviravoltas em alta velocidade."
1317444,"Moisés","Um drama sobre um garoto de programa que enfrenta a hipocrisia da sociedade enquanto luta para sobreviver em meio a desafios pessoais e preconceitos."
1169900,"Mamonas Assassinas: O Filme","Uma comédia musical biográfica sobre a trajetória da famosa banda brasileira, desde seus humildes começos até o sucesso explosivo e trágico."
1179051,"Missão Porto Seguro","Uma comédia de ação sobre uma policial que se disfarça de adolescente para se infiltrar em uma viagem de formatura e desmantelar uma organização criminosa."
1025463,"Biônicos","Uma ficção científica sobre um futuro distópico onde atletas com próteses robóticas competem, mas a rivalidade entre duas irmãs leva a consequências sombrias."
